task_id,category,tokenizer,language,token_count,char_count,pass1
task-a-0001,arithmetic,cl100k_base,toke,72,172,1.0
task-a-0002,arithmetic,cl100k_base,toke,72,187,1.0
task-a-0003,arithmetic,cl100k_base,toke,82,200,1.0
task-a-0004,arithmetic,cl100k_base,toke,86,213,1.0
task-a-0005,arithmetic,cl100k_base,toke,84,209,0.0
task-a-0006,arithmetic,cl100k_base,toke,91,204,-1.0
task-a-0007,arithmetic,cl100k_base,toke,73,189,1.0
task-a-0008,arithmetic,cl100k_base,toke,112,252,1.0
task-a-0009,arithmetic,cl100k_base,toke,140,293,1.0
task-a-0010,arithmetic,cl100k_base,toke,94,240,0.0
task-a-0011,arithmetic,cl100k_base,toke,129,283,0.0
task-a-0012,arithmetic,cl100k_base,toke,74,184,-1.0
task-a-0013,arithmetic,cl100k_base,toke,61,152,-1.0
task-a-0014,arithmetic,cl100k_base,toke,55,136,-1.0
task-a-0015,arithmetic,cl100k_base,toke,922,1958,-1.0
task-a-0016,arithmetic,cl100k_base,toke,97,230,1.0
task-a-0017,arithmetic,cl100k_base,toke,94,232,0.0
task-a-0018,arithmetic,cl100k_base,toke,93,227,1.0
task-a-0019,arithmetic,cl100k_base,toke,93,228,0.0
task-a-0020,arithmetic,cl100k_base,toke,82,196,1.0
task-a-0021,arithmetic,cl100k_base,toke,78,189,1.0
task-a-0022,arithmetic,cl100k_base,toke,78,189,1.0
task-a-0023,arithmetic,cl100k_base,toke,128,290,0.0
task-a-0024,arithmetic,cl100k_base,toke,93,220,1.0
task-a-0025,arithmetic,cl100k_base,toke,62,160,1.0
task-a-0026,arithmetic,cl100k_base,toke,92,197,0.0
task-a-0027,arithmetic,cl100k_base,toke,56,144,0.0
task-a-0028,arithmetic,cl100k_base,toke,60,152,0.0
task-a-0029,arithmetic,cl100k_base,toke,71,163,1.0
task-a-0030,arithmetic,cl100k_base,toke,52,128,1.0
task-a-0031,arithmetic,cl100k_base,toke,65,166,-1.0
task-a-0032,arithmetic,cl100k_base,toke,68,176,-1.0
task-a-0033,arithmetic,cl100k_base,toke,107,289,-1.0
task-a-0034,arithmetic,cl100k_base,toke,76,189,1.0
task-a-0035,arithmetic,cl100k_base,toke,76,189,1.0
task-a-0036,arithmetic,cl100k_base,toke,75,172,1.0
task-a-0037,arithmetic,cl100k_base,toke,89,226,1.0
task-a-0038,arithmetic,cl100k_base,toke,94,247,1.0
task-a-0039,arithmetic,cl100k_base,toke,78,192,1.0
task-a-0040,arithmetic,cl100k_base,toke,102,246,1.0
task-a-0041,arithmetic,cl100k_base,toke,92,211,1.0
task-a-0042,array_list,cl100k_base,toke,129,286,0.0
task-a-0043,array_list,cl100k_base,toke,130,290,0.0
task-a-0044,array_list,cl100k_base,toke,79,202,1.0
task-a-0045,array_list,cl100k_base,toke,84,219,1.0
task-a-0046,array_list,cl100k_base,toke,83,214,1.0
task-a-0047,array_list,cl100k_base,toke,94,241,1.0
task-a-0048,array_list,cl100k_base,toke,94,240,0.0
task-a-0049,array_list,cl100k_base,toke,101,265,1.0
task-a-0050,array_list,cl100k_base,toke,83,206,1.0
task-a-0051,array_list,cl100k_base,toke,142,348,1.0
task-a-0052,array_list,cl100k_base,toke,78,198,1.0
task-a-0053,array_list,cl100k_base,toke,141,376,1.0
task-a-0054,array_list,cl100k_base,toke,104,262,0.0
task-a-0055,array_list,cl100k_base,toke,104,262,1.0
task-a-0056,array_list,cl100k_base,toke,107,276,1.0
task-a-0057,array_list,cl100k_base,toke,153,370,-1.0
task-a-0058,array_list,cl100k_base,toke,169,405,1.0
task-a-0059,array_list,cl100k_base,toke,123,309,0.0
task-a-0060,array_list,cl100k_base,toke,51,133,1.0
task-a-0061,array_list,cl100k_base,toke,65,169,1.0
task-a-0062,array_list,cl100k_base,toke,115,294,0.0
task-a-0063,array_list,cl100k_base,toke,101,258,0.0
task-a-0064,array_list,cl100k_base,toke,95,246,-1.0
task-a-0065,array_list,cl100k_base,toke,117,263,-1.0
task-a-0066,array_list,cl100k_base,toke,80,210,1.0
task-a-0067,array_list,cl100k_base,toke,80,211,1.0
task-a-0068,array_list,cl100k_base,toke,108,288,1.0
task-a-0069,array_list,cl100k_base,toke,82,200,1.0
task-a-0070,array_list,cl100k_base,toke,78,203,1.0
task-a-0071,array_list,cl100k_base,toke,88,222,1.0
task-a-0072,array_list,cl100k_base,toke,126,299,1.0
task-a-0073,string,cl100k_base,toke,106,250,-1.0
task-a-0074,string,cl100k_base,toke,107,275,0.0
task-a-0075,string,cl100k_base,toke,65,169,0.0
task-a-0076,string,cl100k_base,toke,122,321,-1.0
task-a-0077,string,cl100k_base,toke,125,331,-1.0
task-a-0078,string,cl100k_base,toke,84,203,0.0
task-a-0079,string,cl100k_base,toke,106,289,-1.0
task-a-0080,string,cl100k_base,toke,116,297,0.0
task-a-0081,string,cl100k_base,toke,132,346,0.0
task-a-0082,string,cl100k_base,toke,216,464,-1.0
task-a-0083,string,cl100k_base,toke,140,380,-1.0
task-a-0084,string,cl100k_base,toke,247,521,0.0
task-a-0085,string,cl100k_base,toke,156,438,-1.0
task-a-0086,string,cl100k_base,toke,206,502,0.0
task-a-0087,string,cl100k_base,toke,213,516,0.0
task-a-0088,string,cl100k_base,toke,100,245,0.0
task-a-0089,string,cl100k_base,toke,134,391,0.0
task-a-0090,string,cl100k_base,toke,70,181,0.0
task-a-0091,string,cl100k_base,toke,104,265,0.0
task-a-0092,encoding,cl100k_base,toke,191,523,0.0
task-a-0093,search_selection,cl100k_base,toke,164,421,0.0
task-a-0094,search_selection,cl100k_base,toke,148,370,0.0
task-a-0095,search_selection,cl100k_base,toke,119,300,1.0
task-a-0096,search_selection,cl100k_base,toke,109,283,1.0
task-a-0097,search_selection,cl100k_base,toke,82,214,1.0
task-a-0098,search_selection,cl100k_base,toke,82,214,1.0
task-a-0099,search_selection,cl100k_base,toke,82,222,1.0
task-a-0100,search_selection,cl100k_base,toke,97,231,0.0
task-a-0101,search_selection,cl100k_base,toke,99,242,1.0
task-a-0102,search_selection,cl100k_base,toke,103,259,-1.0
task-a-0103,search_selection,cl100k_base,toke,149,394,1.0
task-a-0104,search_selection,cl100k_base,toke,149,394,1.0
task-a-0105,search_selection,cl100k_base,toke,82,213,1.0
task-a-0106,mathematical_sequences,cl100k_base,toke,110,258,1.0
task-a-0107,mathematical_sequences,cl100k_base,toke,126,330,0.0
task-a-0108,mathematical_sequences,cl100k_base,toke,69,164,1.0
task-a-0109,mathematical_sequences,cl100k_base,toke,89,218,1.0
task-a-0110,mathematical_sequences,cl100k_base,toke,114,268,-1.0
task-a-0111,mathematical_sequences,cl100k_base,toke,87,177,1.0
task-a-0112,mathematical_sequences,cl100k_base,toke,83,165,-1.0
task-a-0113,mathematical_sequences,cl100k_base,toke,79,174,-1.0
task-a-0114,mathematical_sequences,cl100k_base,toke,112,251,-1.0
task-a-0115,mathematical_sequences,cl100k_base,toke,152,391,0.0
task-a-0116,mathematical_sequences,cl100k_base,toke,241,567,-1.0
task-a-0117,mathematical_sequences,cl100k_base,toke,64,148,-1.0
task-a-0118,mathematical_sequences,cl100k_base,toke,64,155,1.0
task-a-0119,mathematical_sequences,cl100k_base,toke,67,159,0.0
task-a-0120,mathematical_sequences,cl100k_base,toke,129,310,0.0
task-a-0121,mathematical_sequences,cl100k_base,toke,174,422,-1.0
task-a-0122,mathematical_sequences,cl100k_base,toke,161,426,0.0
task-a-0123,mathematical_sequences,cl100k_base,toke,218,495,-1.0
task-a-0124,mathematical_sequences,cl100k_base,toke,154,371,0.0
task-a-0125,mathematical_sequences,cl100k_base,toke,176,477,-1.0
task-a-0126,mathematical_sequences,cl100k_base,toke,114,266,0.0
task-a-0127,comparison_logic,cl100k_base,toke,95,246,-1.0
task-a-0128,comparison_logic,cl100k_base,toke,80,217,1.0
task-a-0129,comparison_logic,cl100k_base,toke,118,314,1.0
task-a-0130,comparison_logic,cl100k_base,toke,115,314,0.0
task-a-0131,comparison_logic,cl100k_base,toke,149,408,1.0
task-a-0132,comparison_logic,cl100k_base,toke,155,416,1.0
task-a-0133,comparison_logic,cl100k_base,toke,78,208,1.0
task-a-0134,comparison_logic,cl100k_base,toke,78,204,1.0
task-a-0135,comparison_logic,cl100k_base,toke,77,203,1.0
task-a-0136,comparison_logic,cl100k_base,toke,77,204,1.0
task-a-0137,comparison_logic,cl100k_base,toke,102,288,1.0
task-a-0138,comparison_logic,cl100k_base,toke,82,228,1.0
task-a-0139,comparison_logic,cl100k_base,toke,82,230,0.0
task-a-0140,comparison_logic,cl100k_base,toke,95,247,1.0
task-a-0141,comparison_logic,cl100k_base,toke,91,233,1.0
task-a-0142,comparison_logic,cl100k_base,toke,132,343,0.0
task-a-0143,comparison_logic,cl100k_base,toke,90,224,1.0
task-a-0144,comparison_logic,cl100k_base,toke,124,318,1.0
task-a-0145,comparison_logic,cl100k_base,toke,88,238,1.0
task-a-0146,comparison_logic,cl100k_base,toke,97,257,1.0
task-a-0147,encoding,cl100k_base,toke,155,412,-1.0
task-a-0148,encoding,cl100k_base,toke,130,329,1.0
task-a-0149,encoding,cl100k_base,toke,112,210,0.0
task-a-0150,encoding,cl100k_base,toke,140,297,-1.0
task-a-0151,encoding,cl100k_base,toke,140,352,-1.0
task-a-0152,encoding,cl100k_base,toke,158,366,0.0
task-a-0153,encoding,cl100k_base,toke,73,186,-1.0
task-a-0154,encoding,cl100k_base,toke,74,191,-1.0
task-a-0155,encoding,cl100k_base,toke,93,238,-1.0
task-a-0156,encoding,cl100k_base,toke,86,186,1.0
task-a-0157,encoding,cl100k_base,toke,106,243,-1.0
task-a-0158,encoding,cl100k_base,toke,79,218,0.0
task-a-0159,encoding,cl100k_base,toke,178,442,-1.0
task-a-0160,encoding,cl100k_base,toke,169,383,0.0
task-a-0161,encoding,cl100k_base,toke,125,312,0.0
task-a-0162,encoding,cl100k_base,toke,193,469,-1.0
task-a-0163,encoding,cl100k_base,toke,120,309,1.0
task-a-0164,encoding,cl100k_base,toke,87,219,0.0
task-a-0165,encoding,cl100k_base,toke,144,371,0.0
task-a-0166,encoding,cl100k_base,toke,166,387,-1.0
task-a-0167,arithmetic,cl100k_base,toke,244,603,0.0
task-a-0168,arithmetic,cl100k_base,toke,129,302,1.0
task-a-0169,arithmetic,cl100k_base,toke,131,304,0.0
task-a-0170,arithmetic,cl100k_base,toke,66,170,0.0
task-a-0171,arithmetic,cl100k_base,toke,99,216,1.0
task-a-0172,arithmetic,cl100k_base,toke,92,207,1.0
task-a-0173,array_list,cl100k_base,toke,78,197,1.0
task-a-0174,array_list,cl100k_base,toke,165,448,-1.0
task-a-0175,array_list,cl100k_base,toke,113,299,-1.0
task-a-0176,array_list,cl100k_base,toke,100,258,0.0
task-a-0177,array_list,cl100k_base,toke,176,444,0.0
task-a-0178,array_list,cl100k_base,toke,430,1066,-1.0
task-a-0179,array_list,cl100k_base,toke,141,354,0.0
task-a-0180,encoding,cl100k_base,toke,74,190,0.0
task-a-0181,encoding,cl100k_base,toke,103,281,-1.0
task-a-0182,string,cl100k_base,toke,136,333,0.0
task-a-0183,string,cl100k_base,toke,141,367,0.0
task-a-0184,string,cl100k_base,toke,130,355,-1.0
task-a-0185,string,cl100k_base,toke,128,330,0.0
task-a-0186,string,cl100k_base,toke,119,315,-1.0
task-a-0187,string,cl100k_base,toke,203,548,0.0
task-a-0188,search_selection,cl100k_base,toke,142,350,1.0
task-a-0189,search_selection,cl100k_base,toke,215,505,1.0
task-a-0190,array_list,cl100k_base,toke,133,346,1.0
task-a-0191,array_list,cl100k_base,toke,79,212,1.0
task-a-0192,array_list,cl100k_base,toke,126,326,-1.0
task-a-0193,arithmetic,cl100k_base,toke,89,225,1.0
task-a-0194,arithmetic,cl100k_base,toke,90,231,1.0
task-a-0195,string,cl100k_base,toke,60,165,0.0
task-a-0196,string,cl100k_base,toke,179,425,0.0
task-a-0197,string,cl100k_base,toke,118,240,-1.0
task-a-0198,comparison_logic,cl100k_base,toke,108,286,1.0
task-a-0199,comparison_logic,cl100k_base,toke,108,286,1.0
task-a-0200,search_selection,cl100k_base,toke,215,479,0.0
task-a-0201,mathematical_sequences,cl100k_base,toke,113,289,-1.0
task-a-0202,mathematical_sequences,cl100k_base,toke,98,235,1.0
task-a-0203,mathematical_sequences,cl100k_base,toke,111,310,0.0
task-a-0204,array_list,cl100k_base,toke,112,287,1.0
task-a-0205,array_list,cl100k_base,toke,92,249,1.0
task-a-0206,array_list,cl100k_base,toke,119,290,1.0
task-a-0207,array_list,cl100k_base,toke,94,255,1.0
task-a-0208,array_list,cl100k_base,toke,136,355,1.0
task-a-0209,arithmetic,cl100k_base,toke,120,282,1.0
task-a-0210,search_selection,cl100k_base,toke,126,322,0.0
task-a-0211,arithmetic,cl100k_base,toke,73,174,1.0
task-a-0212,arithmetic,cl100k_base,toke,88,206,1.0
task-a-0213,arithmetic,cl100k_base,toke,112,289,1.0
task-a-0214,arithmetic,cl100k_base,toke,87,219,1.0
task-a-0215,arithmetic,cl100k_base,toke,81,196,1.0
task-a-0216,arithmetic,cl100k_base,toke,83,226,1.0
task-a-0217,arithmetic,cl100k_base,toke,134,367,1.0
task-a-0218,arithmetic,cl100k_base,toke,139,404,1.0
task-a-0219,arithmetic,cl100k_base,toke,107,264,1.0
task-a-0220,arithmetic,cl100k_base,toke,101,248,1.0
task-a-0221,array_list,cl100k_base,toke,260,653,1.0
task-a-0222,array_list,cl100k_base,toke,93,240,1.0
task-a-0223,array_list,cl100k_base,toke,127,325,1.0
task-a-0224,array_list,cl100k_base,toke,117,275,0.0
task-a-0225,array_list,cl100k_base,toke,215,551,-1.0
task-a-0226,array_list,cl100k_base,toke,72,185,1.0
task-a-0227,array_list,cl100k_base,toke,84,213,1.0
task-a-0228,array_list,cl100k_base,toke,141,373,1.0
task-a-0229,array_list,cl100k_base,toke,133,372,0.0
task-a-0230,array_list,cl100k_base,toke,135,360,0.0
task-a-0231,string,cl100k_base,toke,133,366,-1.0
task-a-0232,string,cl100k_base,toke,120,324,-1.0
task-a-0233,string,cl100k_base,toke,177,439,0.0
task-a-0234,string,cl100k_base,toke,169,413,0.0
task-a-0235,string,cl100k_base,toke,205,580,0.0
task-a-0236,string,cl100k_base,toke,183,450,0.0
task-a-0237,string,cl100k_base,toke,222,561,0.0
task-a-0238,string,cl100k_base,toke,158,409,0.0
task-a-0239,string,cl100k_base,toke,346,920,-1.0
task-a-0240,string,cl100k_base,toke,153,434,-1.0
task-a-0241,search_selection,cl100k_base,toke,327,893,0.0
task-a-0242,search_selection,cl100k_base,toke,96,231,1.0
task-a-0243,search_selection,cl100k_base,toke,176,467,0.0
task-a-0244,search_selection,cl100k_base,toke,113,295,1.0
task-a-0245,search_selection,cl100k_base,toke,147,352,0.0
task-a-0246,mathematical_sequences,cl100k_base,toke,122,265,-1.0
task-a-0247,mathematical_sequences,cl100k_base,toke,152,408,0.0
task-a-0248,mathematical_sequences,cl100k_base,toke,171,434,0.0
task-a-0249,mathematical_sequences,cl100k_base,toke,103,228,0.0
task-a-0250,mathematical_sequences,cl100k_base,toke,943,1889,-1.0
task-a-0251,comparison_logic,cl100k_base,toke,141,322,1.0
task-a-0252,comparison_logic,cl100k_base,toke,121,273,0.0
task-a-0253,comparison_logic,cl100k_base,toke,180,471,1.0
task-a-0254,comparison_logic,cl100k_base,toke,160,382,0.0
task-a-0255,comparison_logic,cl100k_base,toke,155,382,0.0
task-a-0256,encoding,cl100k_base,toke,120,254,1.0
task-a-0257,encoding,cl100k_base,toke,126,275,1.0
task-a-0258,encoding,cl100k_base,toke,113,278,0.0
task-a-0259,encoding,cl100k_base,toke,79,153,-1.0
task-a-0260,encoding,cl100k_base,toke,95,215,0.0
task-a-0261,arithmetic,cl100k_base,toke,84,208,1.0
task-a-0262,arithmetic,cl100k_base,toke,84,226,1.0
task-a-0263,arithmetic,cl100k_base,toke,105,254,0.0
task-a-0264,arithmetic,cl100k_base,toke,109,274,0.0
task-a-0265,arithmetic,cl100k_base,toke,78,157,1.0
task-a-0266,arithmetic,cl100k_base,toke,125,300,0.0
task-a-0267,arithmetic,cl100k_base,toke,77,188,0.0
task-a-0268,arithmetic,cl100k_base,toke,76,179,1.0
task-a-0269,arithmetic,cl100k_base,toke,116,249,0.0
task-a-0270,arithmetic,cl100k_base,toke,89,210,1.0
task-a-0271,array_list,cl100k_base,toke,147,385,1.0
task-a-0272,array_list,cl100k_base,toke,286,725,-1.0
task-a-0273,array_list,cl100k_base,toke,173,458,1.0
task-a-0274,array_list,cl100k_base,toke,97,261,1.0
task-a-0275,array_list,cl100k_base,toke,69,179,1.0
task-a-0276,string,cl100k_base,toke,209,522,-1.0
task-a-0277,string,cl100k_base,toke,90,233,0.0
task-a-0278,string,cl100k_base,toke,95,258,-1.0
task-a-0279,string,cl100k_base,toke,81,199,0.0
task-a-0280,string,cl100k_base,toke,81,200,0.0
task-a-0281,string,cl100k_base,toke,166,419,-1.0
task-a-0282,mathematical_sequences,cl100k_base,toke,147,316,0.0
task-a-0283,mathematical_sequences,cl100k_base,toke,142,283,0.0
task-a-0284,mathematical_sequences,cl100k_base,toke,147,308,0.0
task-a-0285,mathematical_sequences,cl100k_base,toke,71,174,1.0
task-a-0286,mathematical_sequences,cl100k_base,toke,90,238,0.0
task-a-0287,mathematical_sequences,cl100k_base,toke,69,161,0.0
task-a-0288,comparison_logic,cl100k_base,toke,177,430,0.0
task-a-0289,comparison_logic,cl100k_base,toke,80,198,1.0
task-a-0290,comparison_logic,cl100k_base,toke,83,200,1.0
task-a-0291,comparison_logic,cl100k_base,toke,80,212,1.0
task-a-0292,encoding,cl100k_base,toke,138,373,0.0
task-a-0293,encoding,cl100k_base,toke,111,292,-1.0
task-a-0294,encoding,cl100k_base,toke,78,209,0.0
task-a-0295,encoding,cl100k_base,toke,84,199,0.0
task-a-0296,encoding,cl100k_base,toke,142,368,0.0
task-a-0297,search_selection,cl100k_base,toke,78,190,1.0
task-a-0298,search_selection,cl100k_base,toke,77,191,1.0
task-a-0299,search_selection,cl100k_base,toke,161,372,0.0
task-a-0300,search_selection,cl100k_base,toke,201,543,-1.0
task-a-0301,arithmetic,cl100k_base,toke,83,213,1.0
task-a-0302,arithmetic,cl100k_base,toke,83,182,-1.0
task-a-0303,arithmetic,cl100k_base,toke,62,147,1.0
task-a-0304,array_list,cl100k_base,toke,81,217,1.0
task-a-0305,array_list,cl100k_base,toke,80,215,1.0
task-a-0306,array_list,cl100k_base,toke,93,244,1.0
task-a-0307,array_list,cl100k_base,toke,107,272,1.0
task-a-0308,string,cl100k_base,toke,114,321,-1.0
task-a-0309,string,cl100k_base,toke,209,518,-1.0
task-a-0310,comparison_logic,cl100k_base,toke,84,204,1.0
task-a-0311,mathematical_sequences,cl100k_base,toke,71,191,1.0
task-a-0312,encoding,cl100k_base,toke,66,143,1.0
task-a-0313,arithmetic,cl100k_base,toke,67,167,1.0
task-a-0314,arithmetic,cl100k_base,toke,57,142,1.0
task-a-0315,arithmetic,cl100k_base,toke,57,142,1.0
task-a-0316,arithmetic,cl100k_base,toke,56,140,1.0
task-a-0317,arithmetic,cl100k_base,toke,57,142,1.0
task-a-0318,arithmetic,cl100k_base,toke,63,135,1.0
task-a-0319,arithmetic,cl100k_base,toke,62,132,1.0
task-a-0320,arithmetic,cl100k_base,toke,62,149,1.0
task-a-0321,arithmetic,cl100k_base,toke,67,139,1.0
task-a-0322,arithmetic,cl100k_base,toke,63,147,1.0
task-a-0323,arithmetic,cl100k_base,toke,72,153,1.0
task-a-0324,arithmetic,cl100k_base,toke,101,195,1.0
task-a-0325,arithmetic,cl100k_base,toke,72,153,1.0
